"Date","pricebitcoin","marketbitcoin","priceethereum","marketethereum","pricelitecoin","marketlitecoin","priceneo","marketneo","pricestellar","marketstellar","priceeos","marketeos","pricechainlink","marketchainlink"
2018-02-12,8926.57,137258000000,868.71,79754400000,161.57,8282050000,113.25,6771600000,0.395649,6897000000,9.18,5609460000,0.490282,146139000
2018-02-11,8129.97,145245000000,814.66,83813000000,148.99,8571530000,103.4,7179000000,0.370005,7494820000,8.41,6007740000,0.416157,146901000
2018-02-10,8621.9,146981000000,860.41,86055600000,155.59,9015890000,110.63,7618880000,0.406856,7344120000,9.1,6334330000,0.419874,152426000
2018-02-09,8736.98,139412000000,883.87,79799300000,163.95,8254980000,117.57,7279310000,0.401068,6648690000,9.65,5584730000,0.435194,144210000
2018-02-08,8265.59,128714000000,817.81,73676900000,149.47,7624630000,112.43,6763560000,0.363565,6357810000,8.51,5019680000,0.41108,131433000
2018-02-07,7621.3,130683000000,757.07,77032000000,138.2,7851100000,102.5,6833700000,0.342125,6800610000,7.61,5439430000,0.376771,149035000
2018-02-06,7754,118810000000,793.12,68958700000,142.99,7024630000,105.95,5464510000,0.370811,6208170000,8.34,4659180000,0.425248,120298000
2018-02-05,6955.27,139325000000,697.95,81337400000,125.33,8190580000,82.37,6992380000,0.331192,7064590000,7.06,5618380000,0.341506,150555000
2018-02-04,8277.01,154553000000,834.68,93953400000,148.03,8829970000,107.45,7943970000,0.377231,7851160000,8.61,6306870000,0.434371,181514000
2018-02-03,9174.91,149085000000,964.02,89507600000,160.25,7232410000,122.97,7867210000,0.430056,7482160000,9.84,6290740000,0.518558,175041000
2018-02-02,8830.75,153953000000,915.78,100836000000,131.38,7844710000,120.13,8166710000,0.405075,8387820000,9.79,6528440000,0.494574,181454000
2018-02-01,9170.54,172372000000,1036.79,108952000000,142.3,9004330000,126,9487200000,0.456455,9967480000,10.21,7826060000,0.520347,216986000
2018-01-31,10221.1,170183000000,1118.31,104231000000,163.35,9090870000,145.76,9451090000,0.539797,8732980000,12.2,7309740000,0.620146,209605000
2018-01-30,10106.3,190339000000,1071.13,115207000000,165.28,9976170000,146.28,10976100000,0.489648,10557100000,11.56,8918290000,0.596778,245002000
2018-01-29,11296.4,197871000000,1182.36,121269000000,181.66,10649800000,168.14,9885260000,0.589283,11303400000,14.01,9524430000,0.697712,264879000
2018-01-28,11786.3,193133000000,1246.01,108122000000,193.87,9969420000,152.16,9124100000,0.634421,11005200000,15.02,9057850000,0.760601,276335000
2018-01-27,11440.7,188054000000,1107.07,102651000000,180.89,9705020000,140.2,8979150000,0.613061,11283600000,14.27,9027390000,0.780675,248836000
2018-01-26,11171.4,189398000000,1055.17,102334000000,176.73,9875590000,137.89,8953600000,0.633916,10759400000,14.34,8958130000,0.709853,264884000
2018-01-25,11259.4,192163000000,1056.03,103335000000,180.27,9968750000,138,8976150000,0.608253,10146600000,14.31,8734500000,0.760437,280134000
2018-01-24,11359.4,183419000000,1058.78,95952700000,179.99,9793780000,136.41,7966980000,0.567014,8693050000,13.83,8112750000,0.792863,279597000
2018-01-23,10868.4,184087000000,986.23,97554300000,177.81,9892990000,121.6,8018770000,0.486185,8487840000,12.97,8432510000,0.801917,280782000
2018-01-22,10931.4,195645000000,1003.26,102504000000,180.01,10521900000,123.66,8599480000,0.486338,8336150000,13.66,8385480000,0.802858,317028000
2018-01-21,11600.1,216740000000,1049.58,112226000000,190.42,11585700000,131.09,9764800000,0.464117,9560800000,13.44,9666480000,0.887828,418474000
2018-01-20,12899.2,195979000000,1155.15,101451000000,211.02,10658300000,149.94,9132020000,0.534677,9123480000,15.52,6920580000,1.22,287236000
2018-01-19,11607.4,192150000000,1039.1,99863900000,192.96,10480800000,139.5,9181130000,0.506232,9005680000,11.18,6365040000,0.812905,258709000
2018-01-18,11474.9,188242000000,1036.28,98642100000,192.84,10245500000,142.66,9269200000,0.509523,8579040000,10.51,6230180000,0.74423,245859000
2018-01-17,11188.6,192123000000,1014.25,102974000000,186.52,10417800000,141.37,9407150000,0.477187,7906720000,10.19,6209050000,0.698634,263146000
2018-01-16,11490.5,232517000000,1053.69,125389000000,188.33,12752100000,145.3,12217900000,0.441197,10736400000,10.28,7857840000,0.756453,308620000
2018-01-15,13819.8,231334000000,1291.92,132404000000,232.77,12993700000,187.41,11056500000,0.599271,11190600000,12.94,8110090000,0.877688,352434000
2018-01-14,13772,241447000000,1366.77,135503000000,238.68,14265000000,170.42,9136460000,0.630856,12025900000,13.44,9718770000,1.01,387253000
2018-01-13,14360.2,234391000000,1396.42,123163000000,259.19,12964300000,140.62,8069500000,0.671564,12198400000,16.23,8336870000,1.1,368709000
2018-01-12,13980.6,225986000000,1273.2,112263000000,236.86,12572900000,124.47,7097050000,0.67796,9998070000,13.75,6804430000,1.05,360412000
2018-01-11,13405.8,251387000000,1154.93,122879000000,229.37,13758400000,108.3,8001780000,0.558126,10084400000,11.35,6741700000,1.01,414294000
2018-01-10,14973.3,244981000000,1255.82,125976000000,250.52,13566300000,122.99,8270280000,0.56693,10523600000,11.34,5534140000,1.19,433396000
2018-01-09,14595.4,253935000000,1299.74,110999000000,247.04,13920200000,126.94,6634310000,0.585653,11229100000,9.33,5711470000,1.23,482408000
2018-01-08,15170.1,276612000000,1148.53,112164000000,255.76,15726800000,102.38,6638000000,0.629323,12442100000,9.69,7367780000,1.38,445086000
2018-01-07,16477.6,294222000000,1153.17,100981000000,288.45,16178100000,102.43,6572870000,0.699645,12688400000,12.52,7495320000,1.27,380912000
2018-01-06,17527,293091000000,1041.68,96326500000,296.45,13645300000,100.86,6195060000,0.709945,11854000000,12.58,6324240000,1.06,337679000
2018-01-05,17429.5,259748000000,997.72,94423900000,249.27,13164800000,95.28,6429220000,0.662712,13219400000,10.84,6549910000,0.907486,335557000
2018-01-04,15599.2,256250000000,980.92,93049400000,241.37,13403400000,99.11,6811420000,0.72405,15953600000,11.28,6076410000,0.984368,238033000
2018-01-03,15201,251312000000,962.72,85703500000,245.37,13957800000,105.56,5869250000,0.896227,10059800000,10.23,5394840000,0.681167,234430000
2018-01-02,14982.1,228579000000,884.44,74695700000,255.68,12496900000,90.33,5104180000,0.564766,8873700000,9.33,5144580000,0.673712,255179000
2018-01-01,13657.2,236725000000,772.64,73075800000,229.03,12639700000,78.82,4952450000,0.480008,6436760000,8.84,5041600000,0.733563,210145000
2017-12-31,14156.4,216326000000,756.73,68850800000,232.1,11835100000,75.96,4716090000,0.360756,5676400000,8.77,4876510000,0.601552,195583000
2017-12-30,12952.2,246224000000,717.26,72856900000,218.96,13364800000,72.4,4821840000,0.323202,5651880000,8.56,5402020000,0.586128,170801000
2017-12-29,14656.2,246428000000,753.59,71544300000,245.5,13648200000,73.9,4270520000,0.322941,3996450000,9.44,5459440000,0.486348,177856000
2017-12-28,14606.5,265988000000,737.02,73637100000,249.93,14831200000,65.43,4339530000,0.223544,4068660000,9.57,5978450000,0.506697,175974000
2017-12-27,15838.5,270976000000,762.84,74854100000,272.17,15615200000,66.88,4259210000,0.229224,4040790000,10.56,5551810000,0.505501,180498000
2017-12-26,16099.8,235294000000,773.84,73717800000,286.5,14876400000,65.52,4329390000,0.226018,4083400000,9.82,5497600000,0.521421,177201000
2017-12-25,14026.6,234590000000,765.83,67475100000,273.39,15111400000,66.32,3917400000,0.228511,4045700000,9.77,4597290000,0.501933,192268000
2017-12-24,13925.8,244824000000,694.15,69671200000,275.98,15842900000,59.7,3855900000,0.22445,4228850000,8.14,4753620000,0.544162,204597000
2017-12-23,14699.2,233748000000,719.39,65752100000,288.27,14655200000,58.9,3660710000,0.234179,3943440000,8.48,4437100000,0.57768,153745000
2017-12-22,13831.8,266381000000,674.86,79374400000,264.93,17371200000,55.57,4650220000,0.216717,4616600000,7.84,5898340000,0.426878,149677000
2017-12-21,15802.9,278827000000,821.06,79125300000,317.46,17116600000,71.37,4948010000,0.2572,4516350000,10.6,6591520000,0.424287,132497000
2017-12-20,16624.6,297526000000,819.09,79810600000,314.62,19012500000,75.62,4634920000,0.252386,4729210000,11.99,6840160000,0.372796,153555000
2017-12-19,17776.7,320242000000,826.82,76552200000,350.25,19525500000,70.81,5017420000,0.26431,4927630000,12.38,5057770000,0.439356,150876000
2017-12-18,19114.2,320000000000,794.64,69578400000,358.34,17336500000,77.22,4449540000,0.276283,4876760000,9.21,4478700000,0.434907,146394000
2017-12-17,19140.8,326141000000,719.98,67106400000,318.72,16398800000,68.11,3233120000,0.266621,4189510000,8.22,4673800000,0.417596,119647000
2017-12-16,19497.4,297376000000,696.21,66124200000,298.97,16260700000,49.81,3129270000,0.232125,3500490000,8.61,4405780000,0.341393,111369000
2017-12-15,17706.9,277936000000,684.45,67090900000,299.78,15258500000,47.99,3285020000,0.195862,3544830000,8.13,4531340000,0.320793,109412000
2017-12-14,16564,274269000000,695.82,67482900000,279.33,16352400000,50.62,2918700000,0.188907,2656890000,8.4,3887060000,0.308503,91461900
2017-12-13,16408.2,292900000000,702.77,62105600000,302.6,17116500000,44.81,2647620000,0.149342,2765100000,7.3,2846320000,0.261878,80999700
2017-12-12,17415.4,283155000000,651.43,50286400000,316.16,11528600000,40.41,2354370000,0.156444,2555100000,5.3,2331870000,0.231424,88940000
2017-12-11,16936.8,258147000000,515.14,42389300000,214.2,8042020000,35.88,2165750000,0.144956,2109300000,4.36,2000150000,0.260592,89277800
2017-12-10,15455.4,253782000000,441.72,45501400000,148.66,8438840000,33.31,2326550000,0.119263,2462460000,3.77,2152680000,0.252898,84369300
2017-12-09,15178.2,276415000000,473.5,44005600000,155.24,6910360000,35.71,2337250000,0.135122,2503310000,4.06,2254300000,0.238859,85744800
2017-12-08,16569.4,297787000000,456.03,41845800000,124.85,5327910000,36.27,2264560000,0.13726,2459440000,4.29,2093350000,0.245226,91001400
2017-12-07,17899.7,238600000000,434.41,41007600000,98.29,5415710000,34.86,2277340000,0.133046,2734310000,3.99,2358120000,0.260064,99291400
2017-12-06,14291.5,199390000000,428.59,44483100000,100.35,5548860000,35.16,2518460000,0.151622,2164040000,4.55,2219990000,0.29157,109325000
2017-12-05,11916.7,195389000000,463.28,45212800000,102.4,5644390000,38.82,2729160000,0.123523,1727270000,4.24,2107440000,0.313877,80244600
2017-12-04,11657.2,189172000000,470.2,44795700000,104.24,5486740000,42.17,2382160000,0.09761,1589540000,4.03,1865930000,0.229581,81408100
2017-12-03,11323.2,185258000000,465.85,44560500000,101.26,5420380000,36.62,2281180000,0.089035,1661390000,3.61,2026220000,0.230629,72799200
2017-12-02,11074.6,183490000000,463.45,44853300000,100.28,5351330000,35.07,2329690000,0.093816,1601920000,3.92,1661260000,0.207898,62279400
2017-12-01,10975.6,170436000000,466.54,42765000000,99,4758600000,35.84,2137790000,0.089883,1282140000,3.24,1443760000,0.177823,59334900
2017-11-30,10233.6,165537000000,447.11,41411900000,88.33,4662340000,32.96,2115360000,0.072871,1164430000,2.85,1401530000,0.170461,51575900
2017-11-29,9888.61,168367000000,427.52,45442100000,85.57,5188580000,32.28,2469340000,0.064424,1453630000,2.71,1407010000,0.145255,61798300
2017-11-28,10058.8,164104000000,472.9,46127200000,96.03,4955290000,38.08,2608660000,0.081415,1007510000,2.75,1440200000,0.176424,65387300
2017-11-27,9818.35,156221000000,480.36,45255000000,91.6,4638580000,40.13,2491020000,0.059843,865597000,2.86,1229350000,0.184168,64010900
2017-11-26,9330.55,146789000000,471.33,44712100000,85.93,4801830000,38.44,2472680000,0.048896,775201000,2.46,1023900000,0.182888,64222100
2017-11-25,8790.92,137632000000,466.28,45633400000,88.82,4205220000,38.13,2263690000,0.043639,713515000,2.05,934125000,0.180959,67483800
2017-11-24,8253.69,134816000000,474.91,39564300000,77.97,3946910000,34.79,2267940000,0.040193,716293000,1.88,936708000,0.192921,57860800
2017-11-23,8038.77,137444000000,410.17,36577300000,73.22,3882950000,34.9,2329200000,0.040535,755911000,1.89,929842000,0.164384,59379300
2017-11-22,8253.55,134851000000,380.65,34544000000,71.89,3785260000,35.86,2239040000,0.042299,667261000,1.89,937115000,0.168515,54942900
2017-11-21,8071.26,136967000000,360.4,35220200000,70.03,3892860000,34.36,2353570000,0.037668,675367000,1.9,976585000,0.154972,57216700
2017-11-20,8200.64,134167000000,366.73,33933400000,72.25,3849390000,35.64,2596080000,0.038121,648715000,1.99,917196000,0.162183,56827900
2017-11-19,8036.49,129595000000,354.39,33284900000,71.59,3745710000,39.75,2795440000,0.036566,646281000,1.88,928877000,0.162354,59779400
2017-11-18,7790.15,128425000000,347.61,31800700000,69.64,3631120000,42.74,2583010000,0.036583,628776000,1.93,840206000,0.170872,54253000
2017-11-17,7708.99,131026000000,332.39,31620300000,67.57,3794080000,40.5,1866360000,0.035572,658006000,1.75,797405000,0.159649,59309100
2017-11-16,7871.69,122164000000,330.92,31927300000,71.06,3435690000,28.7,1913970000,0.037234,655235000,1.65,800620000,0.169761,65618600
2017-11-15,7315.54,110667000000,333.36,32353200000,63.82,3379200000,29.35,1936170000,0.037053,604993000,1.67,794660000,0.186138,65664700
2017-11-14,6635.75,109434000000,337.63,30317300000,62.68,3317410000,29.73,1845750000,0.036374,507761000,1.67,555067000,0.188114,64685100
2017-11-13,6559.49,99029000000,316.72,29379000000,61.4,3183830000,28.4,1762620000,0.030656,466386000,1.18,513122000,0.183071,59191100
2017-11-12,5950.07,104980000000,307.91,30106200000,59.01,3351310000,26.96,1848580000,0.028182,546827000,1.09,541171000,0.170898,62883400
2017-11-11,6357.6,110362000000,314.68,28559400000,62.3,3191150000,28.53,1829610000,0.033053,548787000,1.16,478130000,0.17977,65239300
2017-11-10,6618.14,119607000000,299.25,30665200000,59.26,3463640000,28.18,2078110000,0.033073,660767000,1.03,546866000,0.187602,78645100
2017-11-09,7143.58,124146000000,320.88,29509000000,64.27,3358100000,31.9,1999530000,0.039946,560545000,1.18,521918000,0.223969,75849700
2017-11-08,7459.69,119041000000,309.07,28128700000,62.57,3283270000,30.67,1700950000,0.033763,508549000,1.13,436217000,0.213909,62064900
2017-11-07,7144.38,117056000000,294.66,28533300000,61.3,2953400000,26.23,1706600000,0.030699,478974000,0.951407,417944000,0.177539,58742700
2017-11-06,7022.76,123379000000,298.89,28322700000,55.17,2940380000,26.32,1720760000,0.02888,442813000,0.91695,481154000,0.167456,60679600
2017-11-05,7407.41,123388000000,296.26,28661500000,54.75,2953940000,26.38,1721090000,0.026765,451932000,1.09,498621000,0.172059,61922500
2017-11-04,7379.95,119376000000,300.47,29175300000,55.04,3016940000,26.49,1739980000,0.027294,461640000,1.12,536628000,0.177603,59603300
2017-11-03,7207.76,118084000000,305.71,27547400000,56.18,2928260000,26.82,1598960000,0.027779,456146000,1.21,496753000,0.171798,56400000
2017-11-02,7078.5,112910000000,287.43,27754200000,54.74,2872910000,24.5,1738720000,0.027607,448293000,1.12,462451000,0.167427,54879700
2017-11-01,6767.31,107287000000,291.69,29183600000,53.18,2989140000,26.86,1844740000,0.027353,487471000,1.05,345787000,0.157611,66630200
2017-10-31,6468.4,102130000000,305.88,29331500000,55.75,3021830000,28.47,1864890000,0.029182,524277000,0.781782,312268000,0.193912,74010000
2017-10-30,6130.53,101833000000,307.75,29077600000,56.39,3046410000,28.79,1801620000,0.031804,509767000,0.711433,291212000,0.209849,69736100
2017-10-29,6153.85,95819800000,305.09,28270200000,57.11,2929280000,27.76,1360230000,0.030331,515949000,0.665881,232441000,0.198876,71964600
2017-10-28,5753.09,96369600000,296.3,28410400000,54.69,2966700000,27.35,1443000000,0.031038,568695000,0.536368,225217000,0.206531,78613400
2017-10-27,5780.9,98225400000,297.42,28270100000,55.33,2981330000,28.76,1416350000,0.034236,575271000,0.522118,223174000,0.224644,79660300
2017-10-26,5904.83,95685100000,296.53,28408400000,55.74,3023150000,28.33,1423950000,0.034546,584651000,0.518944,215751000,0.227041,88911700
2017-10-25,5750.8,91954200000,297.93,28442000000,56.49,2994670000,28.54,1505590000,0.035004,604354000,0.504073,219135000,0.254435,89338400
2017-10-24,5526.64,98781600000,298.33,27357500000,55.96,2940790000,30.15,1367240000,0.036649,571714000,0.514935,208860000,0.254453,85667600
2017-10-23,5930.32,99941600000,286.95,28111400000,54.92,3036830000,27.51,1424610000,0.033832,517635000,0.493225,218357000,0.248675,92349700
2017-10-22,6008.42,100438000000,295.45,28624800000,56.81,3116350000,28.79,1357500000,0.031269,605233000,0.51797,221105000,0.264695,90365200
2017-10-21,6031.6,99763200000,300.19,28906600000,58.2,3224150000,27.13,1387840000,0.036429,453565000,0.526792,226053000,0.252681,78201800
2017-10-20,6011.45,94947900000,304.01,29326300000,60.33,3196870000,27.75,1433880000,0.026756,518303000,0.540684,235831000,0.223874,104618000
2017-10-19,5708.52,92867000000,308.09,29937900000,59.74,3250090000,28.66,1482970000,0.031195,583492000,0.566708,225606000,0.3,128733000
2017-10-18,5590.69,93190200000,314.32,30160500000,60.73,3183230000,29.67,1583190000,0.035133,759890000,0.546006,228420000,0.366229,140956000
2017-10-17,5605.51,95469300000,317.08,31727700000,59.48,3454040000,31.4,1425090000,0.045842,605629000,0.552144,230284000,0.400848,147834000
2017-10-16,5725.59,94559000000,333.38,32029200000,64.62,3508860000,28.53,1388080000,0.036865,313995000,0.561856,232974000,0.423807,145434000
2017-10-15,5678.19,97011900000,336.6,32292100000,65.47,3422800000,27.73,1382450000,0.018925,286809000,0.571914,236824000,0.413516,136897000
2017-10-14,5831.79,93803000000,339.63,32222400000,63.95,3169870000,27.8,1465980000,0.017522,298861000,0.582836,235451000,0.39186,152197000
2017-10-13,5647.21,90812400000,338.76,28911100000,59.43,3230160000,29.35,1392660000,0.01796,292768000,0.58397,237037000,0.434603,154573000
2017-10-12,5446.91,80256700000,304.14,28851200000,60.11,2713870000,28.18,1500520000,0.017784,323428000,0.591723,243333000,0.444011,158510000
2017-10-11,4826.48,79578200000,303.46,28626300000,50.89,2706060000,29.96,1464940000,0.01945,313004000,0.610223,220811000,0.450463,145721000
2017-10-10,4781.99,79351800000,299.87,28281400000,50.72,2673460000,29.31,1457270000,0.018953,289284000,0.555214,220246000,0.407469,133140000
2017-10-09,4772.02,76656500000,297.39,29328300000,50.16,2828800000,29.1,1601800000,0.017601,311848000,0.557142,237202000,0.380589,141577000
2017-10-08,4610.48,73575400000,308.61,29550900000,53.14,2796640000,32.07,1781810000,0.018598,343218000,0.604501,229724000,0.397137,161870000
2017-10-07,4426.89,72565100000,311.12,29340400000,52.58,2776920000,36.14,1677000000,0.020959,305922000,0.588553,233480000,0.463657,165286000
2017-10-06,4370.81,71810600000,308.59,28031100000,52.12,2749460000,33.52,1625060000,0.018403,243125000,0.599844,234980000,0.475765,142212000
2017-10-05,4328.41,70233700000,295.86,27800400000,51.67,2736260000,32.28,1560680000,0.014576,197068000,0.606157,230827000,0.406538,138960000
2017-10-04,4229.36,71712500000,292.66,27794100000,51.4,2782460000,31.16,1689390000,0.011851,206833000,0.601539,242210000,0.397361,120115000
2017-10-03,4317.48,73181300000,292.46,28238500000,52.35,2840540000,33.61,1832530000,0.012403,214765000,0.63123,248943000,0.345535,128539000
2017-10-02,4409.32,72963200000,297.48,28708500000,53.38,2901270000,36.74,1785160000,0.012962,227204000,0.654973,268425000,0.356767,153183000
2017-10-01,4403.74,72047300000,302.34,28615200000,54.54,2931740000,35.72,1705880000,0.013688,229128000,0.70776,272363000,0.436647,158041000
2017-09-30,4338.71,69136600000,301.46,27655200000,55.14,2797460000,34.21,1429500000,0.013858,218327000,0.721609,269796000,0.451364,109374000
2017-09-29,4163.07,69219200000,291.47,28375900000,52.62,2875460000,28.64,1512530000,0.013204,229178000,0.717272,305136000,0.30844,85903000
2017-09-28,4174.73,69633200000,299.15,29068700000,54.09,2986370000,29.76,1589170000,0.013863,237469000,0.815693,234912000,0.243795,67681900
2017-09-27,4200.67,64579200000,306.47,27219400000,56.28,2739380000,31.79,1316040000,0.014378,204008000,0.633043,207167000,0.194586,68158000
2017-09-26,3892.35,65161000000,287.44,27720000000,51.55,2744540000,26.38,1305990000,0.012388,200327000,0.561128,209783000,0.194958,63713600
2017-09-25,3926.07,61061100000,292.33,26755500000,51.58,2527830000,26.02,989892000,0.012073,191597000,0.570774,199970000,0.182198,59722600
2017-09-24,3682.84,62954300000,282.48,27129900000,47.62,2613620000,19.79,1008660000,0.011563,197631000,0.546274,210746000,0.170278,45888600
2017-09-23,3792.4,60190000000,286.17,25077100000,49.27,2554900000,20.18,929086000,0.011896,178394000,0.576697,206350000,0.131129,52346600
2017-09-22,3630.7,60152300000,264.31,24458400000,48.09,2474380000,18.69,869657000,0.010776,177458000,0.569846,197242000,0.150503,59438900
2017-09-21,3631.04,64677600000,258.58,26836000000,46.61,2739370000,17.45,982515000,0.0106,200775000,0.546153,219928000,0.16968,66196100
2017-09-20,3905.95,64918500000,283.74,26712400000,51.73,2795880000,19.75,995012000,0.012236,195421000,0.612827,231481000,0.189165,54773000
2017-09-19,3924.97,67520300000,282.8,27809300000,52.84,2950880000,19.94,1049420000,0.011794,223138000,0.653363,250257000,NA,NA
2017-09-18,4065.2,59514100000,293.5,23881200000,55.53,2571070000,21.22,995579000,0.013455,185334000,0.704878,228544000,NA,NA
2017-09-17,3582.88,59757800000,251.75,23272500000,48.49,2554450000,19.86,1031920000,0.01121,194242000,0.648592,218104000,NA,NA
2017-09-16,3625.04,60271600000,246.52,23742600000,48.26,2548580000,20.76,937288000,0.011699,199831000,0.627565,231741000,NA,NA
2017-09-15,3637.52,52453500000,250.46,20364900000,48.21,2206520000,18.74,790612000,0.012096,184601000,0.664289,208567000,NA,NA
2017-09-14,3154.95,64191600000,213.91,26166100000,41.58,3261960000,15.69,1004180000,0.011038,254686000,0.603217,249825000,NA,NA
2017-09-13,3882.59,68432200000,277.11,27535700000,61.73,3402820000,20.06,1041450000,0.015328,268670000,0.728994,287468000,NA,NA
2017-09-12,4130.81,69033400000,291.46,27861800000,64.23,3503300000,20.97,1093590000,0.016324,282216000,0.836077,248239000,NA,NA
2017-09-11,4161.27,68256000000,294.53,27394400000,66.04,3259510000,21.88,1133790000,0.016993,269966000,0.730869,250148000,NA,NA
2017-09-10,4122.94,70018100000,288.75,27797200000,61.61,3478400000,22.75,1088180000,0.016269,283785000,0.739763,266891000,NA,NA
2017-09-09,4226.06,70017200000,294.4,27990500000,66.01,3551950000,21.96,1231580000,0.017095,290623000,0.791608,278741000,NA,NA
2017-09-08,4228.75,76220200000,296.5,31147200000,67.79,4144630000,24.86,1529630000,0.017447,332706000,0.832764,325195000,NA,NA
2017-09-07,4599.88,75945000000,329.43,31507500000,78.48,4218690000,30.78,1065110000,0.020096,337593000,0.977272,304901000,NA,NA
2017-09-06,4597.12,72418700000,334.34,29639100000,80.11,3789670000,21.36,1148320000,0.020346,308182000,0.914359,293040000,NA,NA
2017-09-05,4376.53,69954400000,312.99,28100000000,71.29,3444150000,22.8,1093860000,0.018567,296191000,0.883708,277362000,NA,NA
